('Total Revenue', '138,699,000', '125,843,000', '110,360,000', '89,950,000', '85,320,000')
         419719 function calls (406763 primitive calls) in 1.466 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
      258    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      190    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
        1    0.000    0.000    0.001    0.001 ssl.py:398(__new__)
      950    0.001    0.000    0.001    0.000 __init__.py:509(popTag)
        1    0.000    0.000    0.001    0.001 string.py:65(__init__)
      208    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
       10    0.000    0.000    0.001    0.000 enum.py:654(<listcomp>)
        8    0.000    0.000    0.001    0.000 hashlib.py:73(__get_builtin_constructor)
        5    0.000    0.000    0.001    0.000 six.py:90(__get__)
     5501    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      783    0.001    0.000    0.001    0.000 sre_parse.py:343(_escape)
        1    0.000    0.000    0.001    0.001 adapters.py:255(build_response)
        1    0.000    0.000    0.001    0.001 socks.py:36(<module>)
      232    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      205    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
  137/132    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
     3612    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
       30    0.000    0.000    0.001    0.000 abc.py:125(__new__)
        2    0.000    0.000    0.001    0.001 response.py:1(<module>)
      208    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
     2751    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      455    0.000    0.000    0.001    0.000 enum.py:526(__new__)
        1    0.000    0.000    0.001    0.001 _markupbase.py:6(<module>)
        1    0.000    0.000    0.001    0.001 client.py:203(parse_headers)
        1    0.000    0.000    0.001    0.001 fields.py:1(<module>)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
       43    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      415    0.001    0.000    0.001    0.000 sre_parse.py:258(getwhile)
        1    0.000    0.000    0.001    0.001 exceptions.py:8(<module>)
       52    0.000    0.000    0.001    0.000 typing.py:603(__init__)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
      273    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      182    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
        1    0.000    0.000    0.001    0.001 charsetgroupprober.py:28(<module>)
       70    0.000    0.000    0.001    0.000 css_parser.py:520(parse_tag_pattern)
       48    0.000    0.000    0.001    0.000 enum.py:830(__or__)
        1    0.000    0.000    0.001    0.001 idna.py:3(<module>)
      273    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
     5572    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 ntpath.py:6(<module>)
     5560    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
        1    0.001    0.001    0.001    0.001 message.py:945(MIMEPart)
      779    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 parser.py:60(parsestr)
      426    0.001    0.000    0.001    0.000 {built-in method builtins.any}
      950    0.001    0.000    0.001    0.000 element.py:1179(is_empty_element)
        2    0.000    0.000    0.001    0.000 request.py:2456(getproxies_environment)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
        1    0.000    0.000    0.001    0.001 parser.py:42(parse)
       38    0.000    0.000    0.001    0.000 typing.py:1193(_alias)
      156    0.000    0.000    0.001    0.000 _collections_abc.py:742(__iter__)
        3    0.000    0.000    0.001    0.000 __init__.py:71(search_function)
        2    0.000    0.000    0.001    0.000 cookiejar.py:1587(make_cookies)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
