('Total Revenue', '138,699,000', '125,843,000', '110,360,000', '89,950,000', '85,320,000')
         419819 function calls (406863 primitive calls) in 1.191 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      163    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      156    0.000    0.000    0.001    0.000 _collections_abc.py:742(__iter__)
      151    0.000    0.000    0.000    0.000 enum.py:628(value)
      146    0.000    0.000    0.001    0.000 util.py:16(lower)
      145    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      145    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      141    0.000    0.000    0.000    0.000 os.py:673(__getitem__)
      141    0.000    0.000    0.000    0.000 os.py:751(encode)
      139    0.000    0.000    0.000    0.000 socket.py:614(readable)
      138    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      138    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      138    0.001    0.000    0.569    0.004 socket.py:575(readinto)
      138    0.001    0.000    0.565    0.004 ssl.py:920(read)
      138    0.001    0.000    0.567    0.004 ssl.py:1060(recv_into)
      138    0.565    0.004    0.565    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      137    0.001    0.000    0.001    0.000 css_parser.py:357(__init__)
  137/132    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
  137/132    0.000    0.000    0.004    0.000 css_parser.py:383(freeze)
      137    0.000    0.000    0.003    0.000 css_types.py:179(__init__)
      136    0.000    0.000    0.000    0.000 os.py:696(__iter__)
      135    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      132    0.000    0.000    0.000    0.000 six.py:87(__init__)
      123    0.000    0.000    0.000    0.000 enum.py:623(name)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
      119    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
      119    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
      116    0.000    0.000    0.000    0.000 typing.py:613(<genexpr>)
      115    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       98    0.000    0.000    0.000    0.000 enum.py:659(<lambda>)
       95    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       92    0.004    0.000    0.004    0.000 {built-in method posix.getcwd}
       88    0.000    0.000    0.000    0.000 six.py:137(__init__)
       85    0.000    0.000    0.001    0.000 css_parser.py:759(parse_combinator)
       77    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       77    0.001    0.000    0.007    0.000 css_parser.py:450(parse_attribute_selector)
       77    0.000    0.000    0.001    0.000 css_types.py:228(__init__)
       76    0.000    0.000    0.002    0.000 _htmlparser.py:251(handle_comment)
       76    0.000    0.000    0.002    0.000 _markupbase.py:168(parse_comment)
       74    0.000    0.000    0.000    0.000 element.py:1224(_all_strings)
       72    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       71    0.000    0.000    0.000    0.000 element.py:347(_last_descendant)
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       70    0.000    0.000    0.001    0.000 css_parser.py:520(parse_tag_pattern)
       70    0.000    0.000    0.001    0.000 css_types.py:214(__init__)
       69    0.000    0.000    0.000    0.000 status_codes.py:120(<genexpr>)
       69    0.000    0.000    0.000    0.000 __init__.py:596(_linkage_fixer)
       68    0.000    0.000    0.000    0.000 status_codes.py:114(doc)
       67    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       66    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
       64    0.000    0.000    0.003    0.000 _htmlparser.py:104(handle_startendtag)
       60    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
       57    0.000    0.000    0.000    0.000 typing.py:165(_collect_type_vars)
       56    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       55    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       54    0.000    0.000    0.000    0.000 re.py:252(escape)
       52    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       52    0.000    0.000    0.001    0.000 typing.py:603(__init__)
       51    0.000    0.000    0.000    0.000 six.py:173(_add_module)
       48    0.000    0.000    0.001    0.000 enum.py:830(__or__)
    47/20    0.000    0.000    0.305    0.015 {built-in method builtins.__import__}
       45    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       45    0.000    0.000    0.004    0.000 css_parser.py:997(<listcomp>)
    45/14    0.001    0.000    0.022    0.002 css_parser.py:847(parse_selectors)
       44    0.000    0.000    0.000    0.000 enum.py:198(<genexpr>)
       44    0.000    0.000    0.000    0.000 six.py:103(__init__)
       43    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       43    0.000    0.000    0.000    0.000 element.py:1451(__eq__)
       43    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
    42/11    0.001    0.000    0.167    0.015 {method 'join' of 'bytes' objects}
       41    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       41    0.000    0.000    0.000    0.000 parse.py:98(_noop)
       41    0.000    0.000    0.000    0.000 parse.py:109(_coerce_args)
       38    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       38    0.000    0.000    0.000    0.000 enum.py:453(_find_data_type)
       38    0.000    0.000    0.000    0.000 enum.py:442(_get_mixins_)
       38    0.000    0.000    0.001    0.000 typing.py:1193(_alias)
       37    0.000    0.000    0.000    0.000 element.py:1278(<listcomp>)
       37    0.000    0.000    0.000    0.000 element.py:1261(get_text)
       36    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       36    0.000    0.000    0.000    0.000 enum.py:907(_power_of_two)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
       35    0.001    0.000    0.020    0.001 element.py:733(_find_all)
       35    0.000    0.000    0.020    0.001 element.py:1762(find_all)
       35    0.000    0.000    0.000    0.000 element.py:1900(__init__)
       35    0.000    0.000    0.000    0.000 element.py:2149(__init__)
    35/27    0.000    0.000    0.016    0.001 css_parser.py:557(parse_pseudo_class)
       33    0.000    0.000    0.006    0.000 element.py:1737(find)
       32    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       32    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       32    0.000    0.000    0.417    0.013 {method 'readline' of '_io.BufferedReader' objects}
    31/14    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       31    0.001    0.000    0.153    0.005 {method 'read' of '_io.BufferedReader' objects}
    31/14    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
       31    0.000    0.000    0.154    0.005 client.py:604(_safe_read)
    31/26    0.000    0.000    0.016    0.001 css_parser.py:704(parse_pseudo_open)
       30    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       30    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       30    0.000    0.000    0.001    0.000 abc.py:125(__new__)
       29    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
